from,to,feature,n_trans,n_probes,cohens_d,pval,pval_bonf
CNU,OLF,psd_pc1,36,31,0.2053,0.0009262777960162672,0.703971124972363
void_fluid,void,cor_ratio,74,72,0.2042,0.019352127763926565,1.0
HY,MB,cor_ratio,24,21,0.2042,0.05675729103508711,1.0
CB,void_fluid,trough_time_secs,22,22,0.204,0.05879294556468346,1.0
HY,MB,peak_val,24,21,0.2023,0.0016121287301716287,1.0
HY,TH,recovery_time_secs,80,79,0.2023,4.835183515589571e-11,3.674739471848074e-08
CB,void_fluid,psd_pc1,22,22,0.202,0.0014034339046078918,1.0
HPF,Isocortex,recovery_slope,317,312,0.2017,9.621739489534345e-17,7.312522012046102e-14
fiber tracts,TH,psd_pc0,20,20,0.2017,0.0008210825059960544,0.6240227045570014
CB,fiber tracts,trough_time_secs,16,16,0.2005,0.08106552231328748,1.0
TH,HPF,csd_pc1,208,206,0.2002,5.460464587102402e-18,4.149953086197825e-15
HPF,fiber tracts,trough_val,20,20,0.1996,1.4078208160727875e-06,0.0010699438202153185
HY,MB,trough_time_secs,24,21,0.1987,0.0013878817338561123,1.0
CNU,TH,cor_ratio,24,24,0.1978,0.10988159474810578,1.0
HY,MB,recovery_time_secs,24,21,0.1977,0.0013000777089299143,0.9880590587867348
CB,fiber tracts,recovery_time_secs,16,16,0.1975,0.09129151601099521,1.0
OLF,CTXsp,alpha_std,71,70,0.1972,1.0513156283054902e-12,7.989998775121725e-10
fiber tracts,TH,aperiodic_offset,20,20,0.1959,0.0050115503219849335,1.0
void_fluid,void,depolarisation_slope,74,72,0.1957,0.07668887856873774,1.0
TH,HPF,tip_time_secs,208,206,0.1948,8.9169668155535e-26,6.77689477982066e-23
fiber tracts,HB,recovery_time_secs,17,17,0.1944,0.1095889818249529,1.0
CB,fiber tracts,depolarisation_slope,16,16,0.1933,0.030263511812603592,1.0
fiber tracts,root,csd_pc1,18,13,0.193,0.018112560567750305,1.0
OLF,CTXsp,csd_pc1,71,70,0.1919,6.019132153387494e-10,4.574540436574495e-07
fiber tracts,root,aperiodic_exponent,18,13,0.1918,0.8397453797271401,1.0
CB,fiber tracts,cor_ratio,16,16,0.1917,0.00584324667640972,1.0
HPF,Isocortex,tip_val,317,312,0.1907,1.9086105502019296e-12,1.4505440181534665e-09
CB,void_fluid,recovery_time_secs,22,22,0.19,0.09783420570287063,1.0
HPF,fiber tracts,tip_val,20,20,0.1893,0.004197701134623584,1.0
OLF,CTXsp,depolarisation_slope,71,70,0.1887,7.007704067440192e-13,5.325855091254546e-10
HPF,MB,aperiodic_exponent,18,18,0.188,0.08955140540140623,1.0
void_fluid,void,aperiodic_offset,74,72,0.1877,0.004665671009948858,1.0
CTXsp,CNU,repolarisation_slope,58,53,0.1862,3.448853157263261e-06,0.0026211283995200784
CTXsp,Isocortex,tip_time_secs,18,12,0.1846,0.10961851112453412,1.0
fiber tracts,VS,peak_time_secs,16,14,0.1845,0.008955693072784425,1.0
OLF,CTXsp,alpha_mean,71,70,0.1841,2.26798753794639e-08,1.7236705288392564e-05
MB,HY,aperiodic_exponent,28,27,0.1838,7.166415376975717e-06,0.005446475686501545
Isocortex,void,alpha_mean,97,97,0.1828,0.7416893017705694,1.0
CNU,TH,psd_pc0,24,24,0.1819,0.08230299980694476,1.0
void_fluid,void,peak_val,74,72,0.1818,0.012158133080905463,1.0
Isocortex,void_fluid,cor_ratio,66,66,0.1816,0.07593059424122962,1.0
OLF,CNU,aperiodic_exponent,20,15,0.1813,0.014820735195883564,1.0
CNU,OLF,recovery_slope,36,31,0.1806,2.5268852007595603e-06,0.0019204327525772658
