pid,epsilon,alpha,cr,cr_realized,file_bytes,r2_wheel,balanced_accuracy_choice,null_choice,balanced_accuracy_feedback,null_feedback
6638cfb3-3831-4fc2-9327-194b76cf22e1,450.0,75.0,405.61118235186507,179.24366486984653,9203481,0.0147980676389386,0.5683554215977424,0.5006141465870022,0.5,0.5
749cb2b7-e57e-4453-a794-f6230e4d0226,50.0,14.0,49.84465604262646,39.98613034617825,54005097,0.0544783272310925,0.5,0.5,0.5923550909399966,0.5013215707401755
749cb2b7-e57e-4453-a794-f6230e4d0226,50.0,28.0,61.58098658365176,49.06734195526324,44010023,0.0634700345318806,0.4990421455938697,0.5000892857142857,0.6062935577086521,0.5013743228278112
749cb2b7-e57e-4453-a794-f6230e4d0226,50.0,40.0,66.8260778926025,53.20169278293292,40589965,0.068974308759425,0.4993259543067972,0.5000995225013081,0.5757649158592555,0.4968241746730119
749cb2b7-e57e-4453-a794-f6230e4d0226,50.0,55.0,70.73809056038125,55.707445773749264,38764205,0.0688514377543627,0.4964523910884064,0.4980406200941915,0.5756331803501615,0.4964032055311125
749cb2b7-e57e-4453-a794-f6230e4d0226,50.0,75.0,73.81500000333104,58.041520377206005,37205346,0.073740646798701,0.5,0.5,0.5996430392656807,0.4969293047200024
749cb2b7-e57e-4453-a794-f6230e4d0226,50.0,96.0,75.7588222201349,59.85702390087303,36076883,0.077050164612189,0.4961685823754789,0.5011077315541601,0.6069309875913649,0.5000998922510551
749cb2b7-e57e-4453-a794-f6230e4d0226,100.0,14.0,65.71262475150273,50.09879721861066,43103926,0.0544661691654958,0.5,0.5,0.5923550909399966,0.4956170871868546
749cb2b7-e57e-4453-a794-f6230e4d0226,100.0,28.0,87.73998826261901,65.20119913535876,33119864,0.0634700322268124,0.4990421455938697,0.4993386970172683,0.6062935577086521,0.4965124509891953
749cb2b7-e57e-4453-a794-f6230e4d0226,100.0,40.0,98.78722476376326,72.7091965268823,29699886,0.0689743096067185,0.4993259543067972,0.4999527407116692,0.5757649158592555,0.4994164347071323
749cb2b7-e57e-4453-a794-f6230e4d0226,100.0,55.0,107.58419333177584,77.47164182649196,27874133,0.0688514377543627,0.4964523910884064,0.5013432103610675,0.5756331803501615,0.4994988177546316
749cb2b7-e57e-4453-a794-f6230e4d0226,100.0,75.0,114.86949893506002,82.0608916327453,26315274,0.073740646798701,0.5,0.5,0.5996430392656807,0.5008287689683039
749cb2b7-e57e-4453-a794-f6230e4d0226,100.0,96.0,119.65066763918912,85.73752540565775,25186811,0.077050164612189,0.4961685823754789,0.4999067896389324,0.6069309875913649,0.5082657657657658
