pid,tier,alpha,cr,cr_realized,file_bytes,r2_wheel,balanced_accuracy_choice,null_choice,balanced_accuracy_feedback,null_feedback,epsilon
d7ec0892-0a6c-4f4f-9d8f-72083692af5c,alpha70,70.0,110.76421174649424,82.8224505029416,21515420,0.2611099492754507,0.746322642874367,0.4975602540834846,0.7882059800664452,0.4915274758998394,
d7ec0892-0a6c-4f4f-9d8f-72083692af5c,"aggressive (eps450, alpha96, shipped)",96.0,230.75111243887915,186.6157278716876,9548819,0.2364356656537027,0.7507234145165179,0.5028036600120993,0.7449770605916786,0.4958276130325426,
da8dfec1-d265-44e8-84ce-6ae9c109b8bd,uncompressed,,1.0,1.0,1649662592,0.0389336826560094,0.5672768642051919,0.5017459792462226,0.5145000663922454,0.4973760740251156,
da8dfec1-d265-44e8-84ce-6ae9c109b8bd,alpha28 (default),28.0,97.29994366609304,85.48290865288328,19298157,0.0307473887394453,0.585508916566937,0.4906954077955612,0.4977426636568848,0.5005551883674818,
da8dfec1-d265-44e8-84ce-6ae9c109b8bd,alpha40,40.0,109.95773030851744,79.9926504206995,20622677,0.036688390066206,0.5510024673847199,0.5011021950258192,0.5,0.5,
da8dfec1-d265-44e8-84ce-6ae9c109b8bd,alpha55,55.0,118.37014346808708,86.62901220311548,19042842,0.0366939336465936,0.5573703884284089,0.5008993718070643,0.4988713318284424,0.4995769993390614,
da8dfec1-d265-44e8-84ce-6ae9c109b8bd,alpha70,70.0,122.9350905503387,89.42380276338122,18447690,0.0342725756302256,0.5184906106407813,0.4998321899273946,0.5047536847696189,0.5009054857898215,
da8dfec1-d265-44e8-84ce-6ae9c109b8bd,"aggressive (eps450, alpha96, shipped)",96.0,293.93842609886724,234.69995895467443,7028815,0.0239074953184197,0.5595348905929111,0.4950632288435659,0.5013676802549463,0.4996160547978128,
dab512bd-a02d-4c1f-8dbc-9155a163efc0,uncompressed,,1.0,1.0,1408886912,0.1574138284330651,0.526062224286046,0.5007991078613236,0.7866497020854022,0.5020638528138528,
dab512bd-a02d-4c1f-8dbc-9155a163efc0,alpha28 (default),28.0,105.66858366339106,92.13622004654005,15291347,0.169041264101914,0.528674251218946,0.5021755118203609,0.6362648957298908,0.5040581044638422,
dab512bd-a02d-4c1f-8dbc-9155a163efc0,alpha40,40.0,119.59181442753436,85.94870042942416,16392184,0.1726165019202886,0.511725098676573,0.4948686832431241,0.5993979642502483,0.4979568518912781,
dab512bd-a02d-4c1f-8dbc-9155a163efc0,alpha55,55.0,131.1025316869372,91.5135042618902,15395399,0.1743943665612736,0.5294868818202926,0.5007988113993851,0.5746027805362462,0.5037633241075865,
dab512bd-a02d-4c1f-8dbc-9155a163efc0,alpha70,70.0,138.76062605154067,97.99001492711504,14377862,0.1725671935448458,0.4956756442999768,0.5022654668428497,0.5798783515392254,0.5016740650060324,
dab512bd-a02d-4c1f-8dbc-9155a163efc0,"aggressive (eps450, alpha96, shipped)",96.0,305.807524165004,237.72226445172947,5926609,0.1654839273041088,0.5066751799396332,0.4972507019795186,0.5836022840119166,0.4995974025974026,
dc7e9403-19f7-409f-9240-05ee57cb7aea,uncompressed,,1.0,1.0,1905543296,0.1103625729743904,0.5651442829247125,0.4988486087205966,0.5616002407073092,0.4989235224706794,
dc7e9403-19f7-409f-9240-05ee57cb7aea,alpha28 (default),28.0,82.28233698919261,71.7789020476995,26547401,0.0852397241386581,0.573098828379258,0.4998427150159077,0.5399018654816461,0.5024476033158046,
dc7e9403-19f7-409f-9240-05ee57cb7aea,alpha40,40.0,95.24539831724572,72.14006704576916,26414493,0.067930214055391,0.5798031026252983,0.5020807580973242,0.5,0.5,
dc7e9403-19f7-409f-9240-05ee57cb7aea,alpha55,55.0,105.0440494877694,77.74103737192551,24511421,0.0660546432942779,0.5372450640052072,0.5012324297188755,0.5,0.5,
dc7e9403-19f7-409f-9240-05ee57cb7aea,alpha70,70.0,110.99703596456762,81.39630320956849,23410686,0.0619802700182136,0.5363934692991972,0.5037059602044542,0.5230176364393834,0.5016592696633083,
dc7e9403-19f7-409f-9240-05ee57cb7aea,"aggressive (eps450, alpha96, shipped)",96.0,215.71015575143596,179.69054473900576,10604583,0.0626234298649478,0.5087763072249946,0.5010110898138006,0.5,0.5,
e8f9fba4-d151-4b00-bee7-447f0f3e752c,uncompressed,,1.0,1.0,1930223744,0.1898027341403082,0.5455480837646665,0.4949430256513006,0.7266710327855839,0.503949025717968,
e8f9fba4-d151-4b00-bee7-447f0f3e752c,alpha28 (default),28.0,87.70651562306718,75.90658406208644,25428937,0.1331471194570282,0.5265391966739679,0.4987727482117385,0.5927204890053187,0.5048569648421721,
e8f9fba4-d151-4b00-bee7-447f0f3e752c,alpha40,40.0,99.62552550238613,73.60207703101217,26225126,0.123896154822751,0.5231036455208784,0.4962776352134698,0.617805826784155,0.4984250040875604,
e8f9fba4-d151-4b00-bee7-447f0f3e752c,alpha55,55.0,108.4388040437414,79.10928127097895,24399460,0.1115228675402068,0.5213701745329743,0.5042593463105385,0.6161486861951259,0.5002528174110836,
e8f9fba4-d151-4b00-bee7-447f0f3e752c,alpha70,70.0,113.7550216523107,83.0394698066919,23244654,0.098123271993344,0.5269577409768824,0.498115852123566,0.5092780026990553,0.5014522566939812,
e8f9fba4-d151-4b00-bee7-447f0f3e752c,"aggressive (eps450, alpha96, shipped)",96.0,255.07177640961245,202.88295252342948,9513977,0.0838606388065136,0.5087022336314299,0.5013941954492446,0.5065194093831865,0.4999548324581145,
eebcaf65-7fa4-4118-869d-a084e84530e2,uncompressed,,1.0,1.0,1761964160,0.2656621520070269,0.4990566037735849,0.5003078450844092,0.8304103645432059,0.4979904904904905,
eebcaf65-7fa4-4118-869d-a084e84530e2,alpha28 (default),28.0,125.65185945162406,106.763642180616,16503410,0.2195246850275095,0.5,0.5,0.7690280199505292,0.5043658452030012,
