boundary,n_voxels,rms_lf,psd_lfp,psd_alpha,psd_beta,psd_gamma,psd_delta,psd_theta,psd_lfp_csd,psd_alpha_csd,psd_beta_csd,psd_gamma_csd,psd_delta_csd,psd_theta_csd,rms_lf_csd,psd_residual_lfp,psd_residual_alpha,psd_residual_beta,psd_residual_gamma,psd_residual_delta,psd_residual_theta,decay_fit_error,decay_fit_r_squared,decay_n_peaks,aperiodic_exponent,aperiodic_offset,cor_ratio,rms_ap,alpha_mean,alpha_std,spike_count,tip_time_secs,recovery_time_secs,peak_time_secs,trough_time_secs,trough_val,tip_val,peak_val,recovery_slope,depolarisation_slope,repolarisation_slope,polarity
HPF-TH,2548,-83.96524047851562,-104.99745178222656,-99.9793472290039,-105.76177215576172,-109.73570251464844,-94.32564544677734,-96.86283111572266,-199.48812866210938,-194.97610473632812,-198.48013305664062,-201.11685180664062,-203.4546661376953,-194.59095764160156,-178.947509765625,1.3951126337051392,2.785907506942749,1.4842405319213867,1.077333927154541,0.38625410199165344,3.722181797027588,0.12551821768283844,0.9139183759689331,1.70766019821167,1.2249118089675903,-9.1067476272583,0.32701563835144043,-97.3543472290039,66.79705810546875,24.9359188079834,4.2995829582214355,-0.0004470764833968133,0.0005866584833711386,2.7763178422901547e-06,0.00042052133358083665,0.8275876641273499,0.3502839207649231,-2.4342024326324463,-1133.806884765625,-10651.2578125,8633.9736328125,-0.5188392400741577
TH-HY,20575,-91.62872314453125,-113.05689239501953,-109.72615051269531,-114.12541961669922,-117.88990020751953,-101.37956237792969,-106.30425262451172,-207.11154174804688,-201.10179138183594,-205.74468994140625,-210.4586944580078,-206.95816040039062,-200.01922607421875,-186.27943420410156,1.2415528297424316,1.229878306388855,0.8261024951934814,1.167224407196045,0.8555996417999268,2.1233596801757812,0.11782535910606384,0.9113238453865051,1.698753833770752,1.1938058137893677,-9.918334007263184,0.34925904870033264,-95.76785278320312,59.741153717041016,20.276840209960938,4.7736124992370605,-0.000423350662458688,0.0005565217579714954,3.2760624435468344e-06,0.00039092072984203696,0.8990781903266907,0.4187605381011963,-2.5359060764312744,-1444.9029541015625,-13042.38671875,10261.5029296875,-0.5654121041297913
TH-MB,29506,-91.02474212646484,-112.42373657226562,-108.49964141845703,-113.62538146972656,-117.3484878540039,-101.1148910522461,-105.300048828125,-205.5947265625,-199.71072387695312,-204.22581481933594,-208.8914794921875,-206.0790557861328,-198.51551818847656,-184.9967498779297,1.1463534832000732,1.6707297563552856,0.8339715600013733,1.0258119106292725,0.7322726249694824,2.631028652191162,0.1184450015425682,0.9107102751731873,1.6407389640808105,1.177283763885498,-9.8733549118042,0.37211713194847107,-95.80827331542969,63.47370910644531,22.49026107788086,4.794650554656982,-0.00041207257891073823,0.0005418070359155536,3.2896709853957873e-06,0.0003778902755584568,0.8891873359680176,0.42132776975631714,-2.5314218997955322,-1585.50634765625,-13430.1669921875,11044.41796875,-0.5659322738647461
HY-MB,18793,-91.38892364501953,-112.71649169921875,-109.19181060791016,-113.80873107910156,-117.87080383300781,-101.0871353149414,-105.70136260986328,-206.6157684326172,-200.79945373535156,-205.51910400390625,-210.37039184570312,-206.69326782226562,-199.4454345703125,-186.00997924804688,1.1935466527938843,1.4964327812194824,0.81813645362854,1.1303112506866455,0.797736644744873,2.4943313598632812,0.11843018233776093,0.9147330522537231,1.6469886302947998,1.2156333923339844,-9.841861724853516,0.3881509304046631,-95.31330108642578,63.6917724609375,23.116378784179688,4.758440971374512,-0.0004113202157896012,0.0005291117122396827,3.287259687567712e-06,0.00036554341204464436,0.7834122776985168,0.3912850022315979,-2.2170214653015137,-1513.6240234375,-13139.6611328125,10430.4619140625,-0.5108338594436646
HPF-MB,749,-78.39752960205078,-97.516357421875,-93.25192260742188,-98.45744323730469,-102.22004699707031,-87.59613037109375,-90.6859130859375,-182.08160400390625,-177.1842498779297,-181.3997039794922,-184.6268310546875,-184.0589141845703,-176.3548126220703,-163.60498046875,1.2441614866256714,2.1824464797973633,1.2670526504516602,1.0439192056655884,0.2376941442489624,2.9793264865875244,0.11174966394901276,0.8285461068153381,1.5581073760986328,1.1567519903182983,-8.448420524597168,0.3146659731864929,-87.0311279296875,60.307369232177734,22.393962860107422,4.25691556930542,-0.0003735904465429485,0.0004954121541231871,2.4351163574465318e-06,0.0003454879333730787,0.878635048866272,0.36981192231178284,-2.4091458320617676,-1489.0760498046875,-12559.833984375,10555.0654296875,-0.526714026927948
MB-CB,21639,-89.79611206054688,-111.49773406982422,-108.9898910522461,-112.9828109741211,-116.03369140625,-99.74634552001953,-106.09109497070312,-203.2958984375,-197.80523681640625,-201.9103240966797,-207.1768035888672,-204.39541625976562,-196.1613311767578,-182.83274841308594,1.4032248258590698,0.8984178304672241,0.4370729923248291,1.395319938659668,1.8654438257217407,1.6155519485473633,0.12208817154169083,0.8672558069229126,1.595234751701355,1.0753142833709717,-9.904219627380371,0.49393343925476074,-94.29705047607422,94.86258697509766,40.610328674316406,4.664348602294922,-0.00043975902372039855,0.0005487337475642562,2.1190403458604123e-06,0.0003801718121394515,0.7787519693374634,0.3280062973499298,-2.195072889328003,-1339.77490234375,-11530.0185546875,9696.8193359375,-0.4944836497306824
CNU-TH,6314,-91.50745391845703,-113.10214233398438,-109.1751937866211,-114.26213836669922,-118.41443634033203,-101.4708251953125,-106.03045654296875,-207.3864288330078,-201.25985717773438,-205.94874572753906,-210.7213134765625,-206.74960327148438,-199.8966522216797,-186.45191955566406,1.3478950262069702,1.7676697969436646,0.9350464344024658,1.2147809267044067,0.5986712574958801,2.7006802558898926,0.11698316782712936,0.9211099147796631,1.7858957052230835,1.2516837120056152,-9.88330364227295,0.37324708700180054,-95.423583984375,59.41179656982422,20.42972755432129,4.890333652496338,-0.00040980285848490894,0.0005317778559401631,3.342391437399783e-06,0.00036476837703958154,0.8854509592056274,0.413409948348999,-2.465541124343872,-1619.6263427734375,-14191.1748046875,10845.751953125,-0.5446910858154297
MB-HB,27442,-92.3492660522461,-113.86701965332031,-111.62210083007812,-115.30557250976562,-119.02971649169922,-102.14067840576172,-108.61847686767578,-204.25967407226562,-197.9544677734375,-203.7880401611328,-208.43466186523438,-204.86651611328125,-196.492431640625,-183.53207397460938,1.164430022239685,0.7177767753601074,0.6683919429779053,1.1366980075836182,1.5180798768997192,1.6114593744277954,0.11905576288700104,0.8917362689971924,1.5822910070419312,1.1225254535675049,-10.127969741821289,0.4574123024940491,-94.383544921875,74.18209075927734,28.154817581176758,5.142538070678711,-0.00040312131750397384,0.0005104138399474323,3.7565239381365245e-06,0.0003421583096496761,0.900884211063385,0.4433615505695343,-2.5112464427948,-1725.97900390625,-15402.552734375,12027.4033203125,-0.5303910970687866
CNU-HY,38290,-92.12408447265625,-113.47025299072266,-110.99018096923828,-114.86792755126953,-118.31829833984375,-102.09461975097656,-107.33061218261719,-207.79998779296875,-201.98207092285156,-206.97633361816406,-211.0580291748047,-208.09725952148438,-200.78749084472656,-187.08065795898438,1.4426249265670776,0.5958543419837952,0.7274972796440125,1.471901297569275,1.0666606426239014,1.5932366847991943,0.11682694405317307,0.9043364524841309,1.7513964176177979,1.207116723060608,-9.950898170471191,0.3244573473930359,-96.35704040527344,62.69638442993164,21.00149917602539,4.5958991050720215,-0.0004243722651153803,0.0005603170720860362,3.148576070088893e-06,0.00039081642171368003,0.9158005714416504,0.4130527377128601,-2.5229084491729736,-1332.2191162109375,-13066.2041015625,9975.69921875,-0.6012169122695923
HPF-CNU,511,-89.15582275390625,-110.3109130859375,-106.70694732666016,-111.02507019042969,-115.28644561767578,-98.6385726928711,-103.6132583618164,-205.75636291503906,-200.57827758789062,-204.501708984375,-208.30772399902344,-207.69837951660156,-200.09124755859375,-185.0611572265625,1.3376288414001465,1.457210898399353,1.3020826578140259,1.2474563121795654,0.5004816055297852,2.1289751529693604,0.11248552054166794,0.9285504221916199,1.957916021347046,1.2869889736175537,-9.497997283935547,0.262105256319046,-98.09980773925781,59.323448181152344,22.459592819213867,4.086938858032227,-0.0004428720858413726,0.0005934551008976996,2.497096375009278e-06,0.00042721995851024985,0.5996619462966919,0.3400155007839203,-1.9670472145080566,-731.5949096679688,-10027.4912109375,5824.17236328125,-0.4312560260295868
Isocortex-MB,42,-85.55952453613281,-106.63838958740234,-101.91963958740234,-107.55654907226562,-111.58482360839844,-95.46875,-99.20088958740234,-200.90774536132812,-195.9732208251953,-199.9732208251953,-202.79762268066406,-203.69642639160156,-195.22024536132812,-180.4761962890625,1.476794958114624,2.1800827980041504,1.5814034938812256,1.3397042751312256,0.1364775151014328,2.789341449737549,0.1193557009100914,0.9276413917541504,1.9348726272583008,1.303338885307312,-9.180803298950195,0.3263927698135376,-97.08482360839844,65.3891372680664,23.475818634033203,4.697916507720947,-0.00041904335375875235,0.0005615211557596922,2.879472049244214e-06,0.0003966149815823883,0.9948498010635376,0.4357212483882904,-2.8572824001312256,-1601.5238037109375,-14110.6669921875,11625.142578125,-0.6015973687171936
