from,to,feature,cohens_d_full,cohens_d_A,cohens_d_B,pval_A,pval_B,n_probes,replicated
TH,VS,peak_val,0.8594,0.38369489557691466,1.3873492978743838,2.1371288535805504e-05,1.1743198714278189e-45,23,False
HPF,fiber tracts,trough_val,0.8532,0.8632967261796376,0.8436967029117012,3.2811101492774466e-213,2.9421548310804267e-220,305,True
TH,HPF,depolarisation_slope,0.8524,0.8026290946098174,0.9002285743587323,4.41545341922729e-18,4.544656821887314e-25,19,True
TH,VS,trough_val,0.8466,0.3988151589012311,1.2742586064325874,2.875849494415287e-05,1.5883688638896259e-46,23,False
TH,HPF,psd_gamma_csd,0.8395,0.8812740050196048,0.9161058023073804,1.6320760413185197e-17,2.231340933166595e-17,19,True
HPF,fiber tracts,peak_val,0.8317,0.8179881799741242,0.8505546603126519,2.5872007770687942e-204,2.0653094110458563e-202,305,True
void_fluid,Isocortex,repolarisation_slope,0.8309,0.774666389829419,0.9089264004946359,4.083271463041533e-11,5.2462469831938725e-28,40,True
void_fluid,Isocortex,depolarisation_slope,0.8254,0.784310136096655,0.8747312707065249,5.977548163534183e-19,8.317300519453865e-18,40,True
MB,root,trough_val,0.8228,0.7100163461861704,0.9347456761713558,1.6466181722924355e-23,3.7793175083729805e-35,64,True
HB,VS,repolarisation_slope,0.8203,0.7569983337562429,0.8974956053280995,8.441772165270412e-37,1.6247600926144377e-36,55,True
void_fluid,Isocortex,tip_val,0.8123,0.8341717052324465,0.8163314706715377,1.0415242350750794e-17,5.243296837609379e-19,40,True
