from,to,feature,n_trans,n_probes,cohens_d,pval,pval_bonf
Isocortex,void,psd_residual_delta,57,57,0.0787,0.10244052368161301,1.0
MB,HY,rms_lf_no_car,24,23,0.0784,0.16646785170335587,1.0
HY,TH,psd_residual_lfp,77,77,0.0784,0.322948042474582,1.0
HB,MB,rms_lf_no_car,87,78,0.0781,0.0799486109501777,1.0
CB,MB,psd_beta_csd,26,23,0.0779,0.20991361360238314,1.0
root,fiber tracts,psd_residual_theta,27,21,0.0777,0.40008241663868527,1.0
HB,CB,tip_val,150,136,0.0773,0.12806032433987144,1.0
HY,CNU,psd_residual_gamma,32,27,0.0768,0.16023086283571253,1.0
fiber tracts,HB,cor_ratio,16,16,0.0767,0.47846099144111476,1.0
HY,TH,peak_time_secs,77,77,0.0764,0.0033437079912251276,1.0
MB,TH,alpha_std,101,78,0.076,0.0001057789782365909,0.17136194474327726
CNU,HY,aperiodic_exponent,26,21,0.0755,0.009158112330907959,1.0
OLF,Isocortex,tip_val,69,64,0.0754,0.18650410918645666,1.0
HB,MB,alpha_mean,87,78,0.0752,0.005222793709263773,1.0
void_fluid,void,psd_residual_gamma,121,120,0.0751,0.022074929244318035,1.0
void_fluid,void,psd_residual_lfp,121,120,0.0749,0.022312716866181682,1.0
CNU,Isocortex,peak_time_secs,110,110,0.0748,0.002428623180934952,1.0
TH,MB,distance_to_tip_um,52,42,0.0748,0.17493481934070587,1.0
TH,MB,psd_theta_csd_diff1,52,42,0.0748,0.011059923794479162,1.0
TH,MB,psd_gamma,52,42,0.0735,0.1101821285222151,1.0
fiber tracts,TH,psd_alpha_csd_diff1,21,21,0.0734,0.0649915486091921,1.0
TH,MB,psd_theta_csd,52,42,0.0733,0.035150519282044546,1.0
void_fluid,void,alpha_std,121,120,0.0729,0.01740347080937443,1.0
MB,HY,psd_residual_lfp,24,23,0.0728,0.07762922163386024,1.0
CB,MB,aperiodic_exponent,26,23,0.0728,0.7851962401789252,1.0
CB,fiber tracts,psd_alpha_csd,19,19,0.0727,0.05440861579536308,1.0
CTXsp,CNU,depolarisation_slope,52,49,0.0726,0.05670834753991243,1.0
MB,Isocortex,psd_residual_gamma,43,43,0.0721,0.03430291903341865,1.0
CTXsp,Isocortex,psd_lfp_csd_diff1,18,13,0.0721,0.09575016406904237,1.0
void_fluid,void,psd_lfp_csd,121,120,0.0719,0.1391939384564759,1.0
CNU,OLF,rms_lf_csd,33,30,0.0719,0.39813243939726195,1.0
CNU,HY,psd_residual_lfp,26,21,0.0718,0.43881989580763825,1.0
HPF,Isocortex,psd_residual_beta,313,310,0.0717,0.00014225443937789664,0.23045219179219256
CB,MB,psd_gamma_csd,26,23,0.0717,0.18206770459275423,1.0
MB,Isocortex,psd_lfp_csd_diff1,43,43,0.0717,0.08379361373151939,1.0
OLF,Isocortex,psd_lfp_csd,69,64,0.0716,0.18663885245771383,1.0
void_fluid,void,rms_lf_csd,121,120,0.0712,0.18127496373204133,1.0
OLF,CNU,trough_time_secs,18,15,0.0707,0.5629789033553146,1.0
CB,fiber tracts,psd_lfp_csd_diff1,19,19,0.0706,0.604322943971119,1.0
CTXsp,HPF,rms_lf,28,28,0.0703,0.149685211390103,1.0
