from,to,feature,n_trans,n_probes,cohens_d,pval,pval_bonf
VS,CB,rms_ap,31,31,0.6494,6.236261356207251e-07,0.0007732964081696991
CTXsp,OLF,rms_ap,79,79,0.6491,9.170823009416879e-14,1.137182053167693e-10
HPF,TH,psd_pc0,51,51,0.6491,2.098677864728656e-05,0.026023605522635333
CNU,TH,psd_pc0,283,283,0.6479,2.1538762512716155e-23,2.6708065515768033e-20
MB,TH,csd_pc1,234,227,0.6461,3.4670712605047386e-51,4.299168363025876e-48
MB,HY,peak_time_secs,182,181,0.6454,0.0,0.0
OLF,CTXsp,alpha_std,1346,1345,0.6449,0.0,0.0
CNU,Isocortex,alpha_std,1615,1615,0.6435,0.0,0.0
root,fiber tracts,tip_val,211,211,0.6388,5.126261131284943e-24,6.356563802793329e-21
CTXsp,OLF,recovery_slope,79,79,0.6361,1.6564947655749174e-13,2.0540535093128975e-10
fiber tracts,HB,tip_val,468,468,0.6352,0.0,0.0
HPF,MB,csd_pc1,208,208,0.6343,5.207442813143326e-19,6.457229088297724e-16
root,MB,trough_time_secs,57,57,0.6338,5.513091719255847e-12,6.83623373187725e-09
MB,CB,tip_val,44,44,0.6291,7.146789128380238e-13,8.862018519191495e-10
CNU,HY,tip_val,342,284,0.6283,1.0847192102618105e-34,1.345051820724645e-31
CTXsp,OLF,aperiodic_exponent,79,79,0.6277,2.1129570067949016e-19,2.620066688425678e-16
root,fiber tracts,depolarisation_slope,211,211,0.6261,2.3120571232107022e-23,2.866950832781271e-20
CNU,Isocortex,alpha_mean,1615,1615,0.625,0.0,0.0
CNU,HY,tip_time_secs,342,284,0.6225,1.6307890797319295e-30,2.0221784588675926e-27
CTXsp,CNU,alpha_std,774,752,0.622,0.0,0.0
CNU,HY,psd_pc0,342,284,0.6218,5.325813369037656e-36,6.604008577606694e-33
TH,HPF,peak_time_secs,917,917,0.621,0.0,0.0
CNU,TH,tip_time_secs,283,283,0.6187,2.6365520589019256e-23,3.269324553038388e-20
MB,HY,psd_pc1,182,181,0.6116,1.605025577325578e-34,1.9902317158837167e-31
root,HY,trough_val,235,235,0.6107,8.833987060775126e-24,1.0954143955361156e-20
CNU,HY,csd_pc0,342,284,0.6105,4.335983127870029e-35,5.376619078558836e-32
HY,TH,alpha_mean,757,756,0.6103,0.0,0.0
HPF,Isocortex,csd_pc0,2750,2750,0.6102,0.0,0.0
MB,HY,tip_val,182,181,0.6094,0.0,0.0
MB,Isocortex,alpha_std,459,459,0.6091,0.2928140163421631,1.0
CNU,TH,alpha_mean,283,283,0.6067,6.875857416255494e-20,8.526063196156813e-17
Isocortex,CNU,depolarisation_slope,79,79,0.6034,3.787829427892575e-08,4.696908490586793e-05
CTXsp,OLF,csd_pc1,79,79,0.5984,2.8385991308575514e-18,3.5198629222633637e-15
HPF,TH,trough_val,51,51,0.5964,3.4624128602445126e-05,0.042933919467031956
MB,HY,alpha_mean,182,181,0.596,5.568181247664323e-28,6.90454474710376e-25
MB,CB,trough_val,44,44,0.5958,4.0317457705718596e-11,4.999364755509106e-08
MB,Isocortex,csd_pc1,459,459,0.5957,9.565784276243179e-06,0.011861572502541542
root,MB,recovery_time_secs,57,57,0.5956,2.4147485226666543e-12,2.9942881681066513e-09
MB,Isocortex,alpha_mean,459,459,0.5949,6.12026487942785e-05,0.07589128450490534
TH,HPF,tip_val,917,917,0.5932,0.0,0.0
CNU,TH,recovery_slope,283,283,0.5908,5.244411392857836e-25,6.503070127143716e-22
root,HY,peak_time_secs,235,235,0.5853,1.207046010726076e-23,1.4967370533003342e-20
MB,HB,recovery_time_secs,45,43,0.5853,7.215699149298871e-09,8.9474669451306e-06
CB,MB,depolarisation_slope,304,303,0.5848,1.1210387714598537e-44,1.3900880766102185e-41
CB,MB,recovery_slope,304,303,0.5841,1.877739942195255e-43,2.328397528322116e-40
MB,HB,trough_time_secs,45,43,0.5837,2.006009935939801e-08,2.487452320565353e-05
CB,MB,peak_val,304,303,0.5807,2.955955032585342e-40,3.6653842404058242e-37
HPF,TH,cor_ratio,51,51,0.5783,0.0020705750212073326,1.0
MB,Isocortex,tip_time_secs,459,459,0.5771,0.2579493224620819,1.0
fiber tracts,root,trough_val,56,56,0.577,1.3339509905563318e-06,0.0016540992282898515
CNU,TH,csd_pc0,283,283,0.5759,4.523700405375742e-30,5.6093885026659196e-27
MB,HY,tip_time_secs,182,181,0.5743,1.1005585141440536e-38,1.3646925575386265e-35
CTXsp,CNU,recovery_time_secs,774,752,0.5741,0.0,0.0
Isocortex,CNU,recovery_slope,79,79,0.5726,4.7643217726545117e-07,0.0005907758998091595
MB,HY,peak_val,182,181,0.5701,3.0999010743620766e-36,3.843877332208975e-33
MB,HB,recovery_slope,45,43,0.5698,2.6651989060155756e-08,3.304846643459314e-05
MB,HY,repolarisation_slope,182,181,0.567,1.653751689088398e-34,2.0506520944696135e-31
HY,TH,tip_val,757,756,0.5668,0.0,0.0
CB,MB,trough_val,304,303,0.5656,5.258535038000738e-39,6.520583447120915e-36
MB,HB,depolarisation_slope,45,43,0.5634,2.2274075917039227e-08,2.761985413712864e-05
root,HY,repolarisation_slope,235,235,0.5621,3.427180564753266e-24,4.24970390029405e-21
MB,HPF,aperiodic_offset,412,412,0.5618,0.0,0.0
CNU,HPF,psd_pc1,109,109,0.5615,1.0367745547676003e-06,0.0012856004479118244
MB,CB,recovery_slope,44,44,0.5563,1.4460890263023884e-08,1.7931503926149617e-05
root,fiber tracts,repolarisation_slope,211,211,0.5553,3.920520782251846e-17,4.861445769992289e-14
CNU,HY,aperiodic_offset,342,284,0.5548,5.625358737335777e-28,6.975444834296364e-25
root,fiber tracts,recovery_slope,211,211,0.5503,3.3036812806869675e-17,4.09656478805184e-14
MB,HB,repolarisation_slope,45,43,0.5496,4.0817744206833595e-07,0.0005061400281647366
CNU,HPF,trough_time_secs,109,109,0.5485,8.195385453291237e-05,0.10162277962081134
HB,CB,recovery_slope,1623,1595,0.5474,0.0,0.0
MB,Isocortex,csd_pc0,459,459,0.5457,2.872314982976156e-09,3.5616705788904336e-06
CTXsp,OLF,depolarisation_slope,79,79,0.5457,1.0567583049944651e-12,1.3103802981931367e-09
root,MB,aperiodic_exponent,57,57,0.5455,3.452101964285248e-07,0.00042806064357137075
CNU,HY,depolarisation_slope,342,284,0.5454,2.0814449355366164e-26,2.5809917200654043e-23
VS,CB,alpha_std,31,31,0.5454,0.00010115921759279445,0.12543742981506512
MB,HY,aperiodic_offset,182,181,0.5441,1.3726217228838119e-33,1.7020509363759268e-30
root,MB,cor_ratio,57,57,0.5438,4.725915459857788e-06,0.005860135170223657
root,HY,alpha_std,235,235,0.5406,2.4053204062227626e-39,2.9825973037162256e-36
CTXsp,Isocortex,psd_pc0,323,258,0.5368,3.419577761427273e-35,4.2402764241698185e-32
MB,HB,tip_val,45,43,0.536,1.3009760380100488e-07,0.00016132102871324605
MB,CB,depolarisation_slope,44,44,0.533,4.8629381771414515e-11,6.0300433396554e-08
HPF,TH,rms_ap,51,51,0.5327,0.004518815316259861,1.0
CTXsp,OLF,peak_val,79,79,0.528,6.649929495949891e-10,8.245912574977865e-07
CNU,HY,alpha_std,342,284,0.5259,1.2326383308765646e-22,1.5284715302869402e-19
root,MB,psd_pc1,57,57,0.5256,2.663850265368696e-06,0.003303174329057183
MB,CB,repolarisation_slope,44,44,0.5235,6.943283281657386e-09,8.609671269255159e-06
OLF,CTXsp,alpha_mean,1346,1345,0.5231,0.0,0.0
MB,HB,tip_time_secs,45,43,0.5226,1.489333101289958e-07,0.0001846773045599548
CB,MB,csd_pc0,304,303,0.5221,2.917522864461199e-23,3.617728351931887e-20
CTXsp,OLF,trough_val,79,79,0.5204,1.6763157972832232e-08,2.0786315886311968e-05
fiber tracts,HB,peak_time_secs,468,468,0.5198,7.270219495206945e-39,9.015072174056611e-36
CB,MB,repolarisation_slope,304,303,0.5181,1.5006654756185028e-34,1.8608251897669435e-31
fiber tracts,root,peak_val,56,56,0.517,1.1913116395589896e-05,0.01477226433053147
MB,HB,trough_val,45,43,0.5166,5.426131792773958e-06,0.006728403423039708
OLF,CTXsp,csd_pc0,1346,1345,0.5156,0.0,0.0
MB,Isocortex,recovery_time_secs,459,459,0.5154,0.0,0.0
root,HY,depolarisation_slope,235,235,0.515,3.18344958603565e-17,3.947477486684206e-14
MB,HB,peak_val,45,43,0.5131,2.132260988219059e-06,0.0026440036253916332
CNU,HPF,peak_time_secs,109,109,0.5109,5.922108812228544e-07,0.0007343414927163394
HY,TH,csd_pc1,757,756,0.509,4.000145327660854e-97,4.96018020629946e-94
TH,CNU,csd_pc0,65,65,0.5088,0.33743172678347144,1.0
MB,HPF,psd_pc0,412,412,0.5083,6.252042764029052e-111,7.752533027396025e-108
HY,TH,alpha_std,757,756,0.5078,0.0,0.0
CTXsp,CNU,alpha_mean,774,752,0.5066,0.0,0.0
Isocortex,CTXsp,trough_time_secs,149,149,0.5049,1.1548582728136692e-13,1.4320242582889497e-10
MB,HPF,depolarisation_slope,412,412,0.5043,5.733687963365184e-27,7.109773074572828e-24
CTXsp,HPF,peak_time_secs,393,392,0.504,0.0,0.0
CNU,Isocortex,cor_ratio,1615,1615,0.5037,0.0,0.0
root,CNU,cor_ratio,151,151,0.503,6.383596429238025e-11,7.915659572255151e-08
fiber tracts,HY,trough_val,383,383,0.5019,2.3749801554065526e-27,2.9449753927041253e-24
HB,CB,repolarisation_slope,1623,1595,0.5015,0.0,0.0
TH,CNU,aperiodic_offset,65,65,0.4999,0.2742606997489929,1.0
root,HY,tip_val,235,235,0.4995,7.772261562744357e-16,9.637604337803002e-13
root,HY,peak_val,235,235,0.4991,1.0297824893812328e-16,1.2769302868327286e-13
Isocortex,CNU,cor_ratio,79,79,0.4952,2.641513958678843e-07,0.0003275477308761765
HB,CB,alpha_mean,1623,1595,0.4943,0.0,0.0
MB,TH,psd_pc1,234,227,0.4939,6.69470001776648e-19,8.301428022030436e-16
MB,Isocortex,psd_pc1,459,459,0.4911,3.6488242135451e-25,4.524542024795924e-22
HY,TH,csd_pc0,757,756,0.4876,9.430605643450699e-75,1.1693950997878867e-71
root,HPF,trough_val,32,32,0.4874,3.9880400436231866e-05,0.049451696540927514
fiber tracts,root,alpha_std,56,56,0.4838,5.623991455649957e-05,0.06973749405005947
OLF,HPF,tip_val,305,305,0.4831,2.802596928649634e-45,3.4752201915255463e-42
fiber tracts,OLF,recovery_slope,986,986,0.4831,0.0,0.0
fiber tracts,HY,csd_pc0,383,383,0.483,1.1503807829310648e-107,1.4264721708345203e-104
