boundary,rms_lf,psd_lfp,psd_alpha,psd_beta,psd_gamma,psd_delta,psd_theta,psd_lfp_csd,psd_alpha_csd,psd_beta_csd,psd_gamma_csd,psd_delta_csd,psd_theta_csd,rms_lf_csd,psd_residual_lfp,psd_residual_alpha,psd_residual_beta,psd_residual_gamma,psd_residual_delta,psd_residual_theta,decay_fit_error,decay_fit_r_squared,decay_n_peaks,aperiodic_exponent,aperiodic_offset,cor_ratio,rms_ap,alpha_mean,alpha_std,spike_count,tip_time_secs,recovery_time_secs,peak_time_secs,trough_time_secs,trough_val,tip_val,peak_val,recovery_slope,depolarisation_slope,repolarisation_slope,polarity,n_voxels
HPF-TH,0.9985674562382871,0.9288435040331544,1.2027676166675345,1.017421050413534,0.8428024635531274,0.9126581219808758,1.2578255328448211,0.706482636059077,0.5603023859427224,0.6488105343756323,0.9146523519810611,0.263608611702785,0.4572043094765497,0.7871133424937746,-0.558516788666957,2.3337697360269543,1.5092225629676728,-1.0473280403719658,-0.7640539476018378,2.469450128596627,1.8461112939770974,0.41116762734002227,-0.6730070495690151,0.42359363287265617,0.9226314920173592,-0.43764426064771056,-0.5532785638956917,-0.4621039389090757,-0.5456317002974564,-0.7714904757767789,-0.8119680642348046,0.38005055572840224,0.002425072591382332,0.3855695388889612,-0.5393762261034336,-1.1413119170784918,0.4354932733096962,0.6614592088172753,1.4283810185072245,-0.6428754038614096,0.5031929884401648,2548
TH-HY,-1.081147832369802,-1.019815659064531,-0.9167958595986875,-0.9743823894362226,-1.042842763385039,-0.989129389813435,-0.868352511230705,-0.6949386868967291,-0.6083695869840497,-0.7174808948836991,-0.7495900879959596,-0.42593143619468554,-0.5863480299561731,-0.6817054902653535,-0.9540263605806822,-0.10094839479746191,-0.500714446455404,-0.8653770544711976,0.019242348755851107,-0.003010602376887313,0.2130699736715034,0.31473725627042415,-0.7075995529600849,0.031167866637311813,-0.9181971156343719,-0.12567436613799784,0.045484281835424425,-1.1151961353407984,-1.2229712225633802,0.8742176341353625,0.25357222498837606,-0.35770577678292576,0.9924078082153102,-0.37271326237393254,0.14050497303343404,0.2951619296092659,0.10253357605159404,-0.5056250065937761,-0.20868772171140598,0.40215738918274485,-0.45961075686399105,20575
TH-MB,-0.9172395139140032,-0.866727503824625,-0.650076217907996,-0.8552982570827298,-0.9176420190978797,-0.9177720677995967,-0.6422090156069642,-0.41610070185696824,-0.342978668465894,-0.4318163878369157,-0.47039188738148197,-0.25291050555503497,-0.29726912726949817,-0.4247428182444633,-1.1992223808007818,0.5888516538465003,-0.47668252046983833,-1.151615854810602,-0.1865795613950176,0.7820620985895478,0.3446077749358449,0.2919328215305853,-0.9329305047524555,-0.17727034780193773,-0.8161761752796332,0.19491648336593728,0.030229067443717707,-0.7697120324712711,-0.9011828256287041,0.9472563277728235,0.7600774555936942,-0.7179267110070442,1.019366021377796,-0.7065162301468433,0.04644207715948001,0.34901624184639446,0.11721397529119117,-1.0331019419378367,-0.47417862103458597,0.9048653229561768,-0.4703642584826617,29506
HY-MB,-1.0160710641340385,-0.9375115678917384,-0.8005970082286975,-0.8989629840279876,-1.0384267571994976,-0.9102889183520068,-0.7325836006969895,-0.6038000738157594,-0.5506889457344613,-0.6750535124766543,-0.7338590421581462,-0.3737966166938032,-0.47604002406426643,-0.6277250493382176,-1.0776713640527207,0.3161292619017133,-0.5250425370176546,-0.9400944796812256,-0.07732588817230664,0.5706697968764615,0.34146195163195303,0.4414465290326701,-0.9086566721314546,0.30653935648535985,-0.744743779525784,0.4197948781134107,0.21703777716262235,-0.7495281598864689,-0.8101574739107291,0.821546008671557,0.7938665168779334,-1.0287121500669107,1.0145892949974822,-1.0228075576710955,-0.9594880408328995,-0.2812083736519419,1.146505253133789,-0.7634337132718841,-0.27528593064466905,0.5106455618321315,0.6686887252799059,18793
HPF-MB,2.5095323708824706,2.7376666935926472,2.665729687636817,2.7569476784220703,2.580785829644755,2.726984524783563,2.6488477939267647,3.9063452880725107,3.9546715926404596,3.8612354938551388,3.8523374956594134,4.080982561239741,3.96299479010518,3.8607123903981884,-0.947307487929539,1.3895345613182857,0.8459362360832222,-1.1149641406098036,-1.0119874098745167,1.320679064887082,-1.0766796222719295,-2.7618454985375545,-1.2538732986887378,-0.4362942731936509,2.4158396010097754,-0.6108516815561157,3.3428335095664607,-1.0627874129322512,-0.9151827158321888,-0.919620627786752,2.488332193755747,-1.8536877263308311,-0.6734873404992854,-1.5365715566063314,-0.05391110234246993,-0.731661665776099,0.5175241409237679,-0.6713414132684248,0.12168844282221063,0.590653190700465,0.3403970249528367,749
MB-CB,-0.583813988798063,-0.6428331483566339,-0.7566870920364255,-0.702270032319479,-0.6135974350096236,-0.5488021992977296,-0.8203500866982776,0.0064956753652338365,0.020554344452553358,0.0036726831522775477,-0.16492362853707007,0.07845492352951895,0.1553093319642781,0.00877584828741367,-0.5376229768536639,-0.619584439732104,-1.6888007626037553,-0.40367958873062454,1.704583194835766,-0.7882978848722262,1.1179805187721643,-1.323130237038074,-1.1096698052253247,-1.4636928298432097,-0.8861830812596341,1.9034234049135406,0.6005834674993755,2.1356322100593763,1.7331230078048299,0.49488161019681454,-0.4833367338239459,-0.5483586735197714,-1.299626760171394,-0.6480697888145424,-1.0038079837023342,-1.608642586244667,1.2183609992842608,-0.11123464973276255,0.8267439685739283,0.03957536113824698,1.0066976381387542,21639
CNU-TH,-1.0482377998825296,-1.0307564566247847,-0.7969834739784606,-1.00694197277756,-1.164140908518216,-1.0137345117738723,-0.806694505962255,-0.7454715148999813,-0.638525727223501,-0.7558589647517598,-0.7963754741916754,-0.3848842753111567,-0.5627839354095906,-0.7162598197426934,-0.680130747831208,0.7405336880521342,-0.16800239647704251,-0.7691159642360543,-0.4095484562803176,0.8897731773764337,0.03428946648094263,0.6784540338972896,-0.36913872489540145,0.7613415333362464,-0.8387417432929618,0.21076441105592242,0.17541563219619716,-1.1456813248849036,-1.200744372637839,1.279443325567026,0.8620119077376716,-0.9634441299907173,1.1238040426530649,-1.0426617376703198,0.010908805148616614,0.18291949500355548,0.3328959531454254,-1.1611039054990382,-0.9951969976053956,0.7773023343266131,-0.03124384312315351,6314
MB-HB,-1.276688706745107,-1.2156930134626973,-1.3290938129455,-1.2554359133845912,-1.3064234633880405,-1.194331828527295,-1.3895084378358522,-0.17067637472310468,-0.007916265793786391,-0.349481322816751,-0.3890101610478965,-0.014264570552868214,0.09165723591469607,-0.13132141589128082,-1.1526643360993514,-0.9022334105123386,-0.9823585058849762,-0.9271667846285776,1.12486341159969,-0.7946267495361418,0.4742602964725649,-0.4132700651186886,-1.15994357675068,-0.8680880426280272,-1.3936898874060266,1.3912045048480908,0.567939381889942,0.22145226183907243,-0.07766634805322131,2.155031913293299,1.1620837631162058,-1.4864418305536684,1.944191146303957,-1.6218669926863627,0.15768038926559372,0.8112316828692229,0.18326484430720502,-1.5600884132108088,-1.8245579476146832,1.5360379411310163,0.2643807228607762,27442
CNU-HY,-1.2155789484021156,-1.119760425851673,-1.191674987718518,-1.1512107248126529,-1.1419091490519726,-1.1819140788804834,-1.0994854138068124,-0.8214965627696535,-0.7763112541733483,-0.9491239566903438,-0.8563611297131943,-0.650123172679701,-0.7340423653633533,-0.8422162197881453,-0.43614383607430834,-1.0930053825228072,-0.8018522944369143,-0.2486681375870776,0.37148453756731964,-0.8228067978633132,0.001126257312513902,0.055038297642430845,-0.50313467031085,0.19909510188978197,-0.9920586844019258,-0.4735249888229368,-0.1768824955549008,-0.8416609496302825,-1.1176198859089286,0.2572426384614588,0.2076914610256914,-0.2647953167133237,0.739860190025349,-0.3753853382701856,0.2995362898985679,0.17542607963736684,0.1450855031542034,-0.08288894048143546,-0.2249941168933007,0.21864348815688883,-1.1998058055455039,38290
HPF-CNU,-0.41005233000839003,-0.35587655964048426,-0.26023261375434464,-0.23603387811725435,-0.44079803675533635,-0.2501385562270402,-0.2623491765898587,-0.4458145096304043,-0.5084924737998299,-0.483705558650077,-0.3663962729668925,-0.5716176244900371,-0.6001937322168315,-0.4376456689808267,-0.706572396318335,0.2547588009918236,0.9529169974262878,-0.7029763841698703,-0.5734183223007998,0.005673313001587131,-0.9204718602765145,0.9549938039583755,0.29899173488148884,1.206744236603684,0.03520462226005796,-1.3480300655941966,-0.834624683752104,-1.1538588227693067,-0.9056413946863382,-1.5097358590846854,-0.6231461474329882,0.5464338489821955,-0.5507063295859308,0.557169149522135,-2.7069698722985835,-1.3567185379558209,1.964876628609221,2.1703668860752567,1.8554382139354053,-2.4470422930444644,2.313806276194115,511
